posteam,week,defteam,o_epa,n,d_adj,per_play_eff,total_performance
KC,21,TB,-0.188254348,54,-0.035494682,-0.152759666,-8.249021989
LA,1,DAL,-0.011906919,72,0.084504695,-0.096411614,-6.941636208
LA,2,PHI,0.319775802,61,-0.020272455,0.340048257,20.74294368
LA,3,BUF,0.265289033,71,-0.019234426,0.284523459,20.20116558
LA,4,NYG,-0.106358021,54,0.023279789,-0.129637811,-7.00044177
LA,5,WAS,0.067538981,62,-0.057323362,0.124862343,7.741465241
LA,6,SF,-0.008736268,63,-0.05539604,0.046659772,2.939565647
LA,7,CHI,0.00833389,63,-0.057861613,0.066195503,4.170316707
LA,8,MIA,-0.084151444,93,-0.000395032,-0.083756412,-7.789346297
LA,10,SEA,0.054405871,69,-0.009367811,0.063773682,4.400384052
LA,11,TB,-0.022110754,74,-0.05044563,0.028334876,2.096780858
LA,12,SF,-0.22742972,61,-0.037449736,-0.189979984,-11.58877903
LA,13,ARI,0.092382635,78,-0.010818374,0.103201009,8.049678664
LA,14,NE,-0.013126352,51,0.062411785,-0.075538137,-3.852444986
LA,15,NYJ,-0.238165957,61,0.078957816,-0.317123774,-19.34455019
LA,16,SEA,-0.178420097,78,0.004811712,-0.183231808,-14.29208106
LA,17,ARI,-0.095944546,76,0.004305346,-0.100249892,-7.618991793
LA,18,SEA,-0.13205662,71,0.003137235,-0.135193855,-9.598763701
LA,19,GB,0.000704151,52,-0.024022044,0.024726195,1.285762162
LAC,1,CIN,-0.196163928,75,0.067057477,-0.263221405,-19.7416054
LAC,2,KC,-0.012935811,81,0.001974268,-0.014910079,-1.207716419
LAC,3,CAR,-0.070255738,78,0.034364979,-0.104620717,-8.160415905
LAC,4,TB,0.082305842,52,-0.058014526,0.140320368,7.29665915
LAC,5,NO,-0.104052156,69,-0.114509958,0.010457801,0.7215883
LAC,7,JAX,0.067471777,75,0.092601425,-0.025129648,-1.88472363
LAC,8,DEN,0.032926639,85,-0.068859312,0.101785951,8.651805838
LAC,9,LV,0.017647825,80,0.050926046,-0.033278221,-2.662257698
LAC,10,MIA,-0.135664445,58,0.000210206,-0.135874651,-7.880729774
LAC,11,NYJ,0.032216092,81,0.063338029,-0.031121937,-2.520876921
LAC,12,BUF,-0.233662156,81,0.012014766,-0.245676922,-19.89983071
LAC,13,NE,-0.298927372,38,0.075421855,-0.374349227,-14.22527063
LAC,14,ATL,-0.051239931,76,0.004940759,-0.05618069,-4.269732419
LAC,15,LV,0.169806763,68,0.03723412,0.132572643,9.014939739
LAC,16,DEN,-0.151542244,60,-0.056083505,-0.09545874,-5.727524373
LAC,17,KC,0.274083616,62,-0.016092984,0.2901766,17.99094918
LV,1,CAR,0.167345335,65,0.024121473,0.143223862,9.309551046
LV,2,NO,0.075272862,80,-0.124761692,0.200034554,16.00276432
LV,3,NE,0.046116502,51,0.063019835,-0.016903332,-0.862069951
LV,4,BUF,-0.021026979,72,0.000974154,-0.022001132,-1.584081515
LV,5,KC,0.268149579,71,-0.011736823,0.279886402,19.87193454
LV,7,TB,-0.053886729,57,-0.044867117,-0.009019612,-0.514117875
LV,8,CLE,0.065529057,67,0.071918742,-0.006389685,-0.428108908
LV,9,LAC,0.095293729,53,-0.024223327,0.119517057,6.334403996
LV,10,DEN,-0.119288373,62,-0.051125515,-0.068162858,-4.226097185
LV,11,KC,0.181041785,58,-0.007044147,0.188085932,10.90898405
LV,12,ATL,-0.353873176,48,0.023226516,-0.377099692,-18.10078521
LV,13,NYJ,0.108800833,77,0.064498658,0.044302175,3.411267444
LV,14,IND,0.071877991,53,-0.036665394,0.108543385,5.752799425
LV,15,LAC,0.098913939,77,-0.027632855,0.126546794,9.744103174
LV,16,MIA,-0.01688289,64,-0.004349396,-0.012533495,-0.80214365
LV,17,DEN,0.121241326,70,-0.066173562,0.187414888,13.11904217
MIA,1,NE,-0.049231062,62,0.066948416,-0.116179478,-7.203127654
MIA,2,BUF,0.061652989,75,-0.009850094,0.071503083,5.362731188
MIA,3,JAX,0.120417051,54,0.089673779,0.030743272,1.660136688
MIA,4,SEA,0.015848021,65,-0.007159439,0.023007461,1.495484941
MIA,5,SF,0.251932806,56,-0.077118783,0.329051588,18.42688894
MIA,6,NYJ,0.013815754,45,0.061974004,-0.04815825,-2.167121264
MIA,8,LA,-0.321272943,45,-0.12556245,-0.195710492,-8.806972145
MIA,9,ARI,0.037697668,58,-0.00720805,0.044905719,2.604531695
MIA,10,LAC,0.016183927,57,-0.026877912,0.04306184,2.454524855
MIA,11,DEN,-0.230821712,66,-0.046436284,-0.184385428,-12.16943827
MIA,12,NYJ,-0.023057694,63,0.066695644,-0.089753338,-5.654460285
MIA,13,CIN,-0.007540633,69,0.053733506,-0.061274138,-4.227915538
MIA,14,KC,-0.081641275,78,0.007939107,-0.089580381,-6.987269752
MIA,15,NE,0.140663406,71,0.05140969,0.089253716,6.337013824
MIA,16,LV,-0.112667743,61,0.057902395,-0.170570138,-10.40477839
MIA,17,BUF,-0.165146998,61,0.00507971,-0.170226707,-10.38382914
MIN,1,GB,0.053204837,42,-0.027649632,0.080854469,3.395887699
MIN,2,IND,-0.382471573,40,-0.018279011,-0.364192561,-14.56770245
MIN,3,TEN,0.120090952,65,0.054913516,0.065177436,4.236533342
MIN,4,HOU,0.119935173,65,0.083303673,0.0366315,2.381047487
MIN,5,SEA,-0.014399812,88,-0.004538892,-0.009860919,-0.867760902
MIN,6,ATL,-0.230553345,37,0.015056328,-0.245609673,-9.087557897
MIN,8,GB,0.26416346,55,-0.040911616,0.305075076,16.77912917
MIN,9,DET,0.329521278,48,0.123572412,0.205948867,9.885545605
MIN,10,CHI,-0.066999548,75,-0.04610742,-0.020892128,-1.566909621
MIN,11,DAL,0.100412909,68,0.079904019,0.020508891,1.394604554
MIN,12,CAR,0.04131354,78,0.028352003,0.012961537,1.010999852
