"posteam","season","week","defteam","time_between_plays","expected_tbp"
"MIA",2019,1,"BAL",4,10.7449752869823
"MIA",2019,1,"BAL",6,8.03254733891493
"MIA",2019,1,"BAL",26,28.5614441044714
"MIA",2019,1,"BAL",32,29.4866617853336
"MIA",2019,1,"BAL",5,25.2746309480267
"MIA",2019,1,"BAL",3,24.4390878482191
"BUF",2019,1,"NYJ",34,36.3756918348884
"BUF",2019,1,"NYJ",21,34.2783502633397
"BUF",2019,1,"NYJ",18,30.7166298011242
"BUF",2019,1,"NYJ",28,32.7174650456708
"BUF",2019,1,"NYJ",30,33.265588271285
"BUF",2019,1,"NYJ",32,33.2632528606193
"BUF",2019,1,"NYJ",6,29.9396100521741
"NYJ",2019,1,"BUF",31,33.8423184963187
"NYJ",2019,1,"BUF",4,30.7217041086217
"BUF",2019,1,"NYJ",40,32.7817962528776
"BUF",2019,1,"NYJ",45,32.237607190707
"BUF",2019,1,"NYJ",23,31.9743676033378
"BUF",2019,1,"NYJ",29,33.7661094646956
"BUF",2019,1,"NYJ",6,30.2294580416958
"BUF",2019,1,"NYJ",39,29.3687436796929
"BUF",2019,1,"NYJ",16,25.5146084703901
"BUF",2019,1,"NYJ",4,26.551559323264
"BUF",2019,1,"NYJ",38,28.9170979277203
"NYJ",2019,1,"BUF",18,27.880923032785
"NYJ",2019,1,"BUF",38,27.2060354328365
"NYJ",2019,1,"BUF",39,37.3409558478801
"NYJ",2019,1,"BUF",29,30.4092725818709
"NYJ",2019,1,"BUF",39,35.2755965050387
"NYJ",2019,1,"BUF",24,24.5622749289396
"NYJ",2019,1,"BUF",43,32.3335806723518
"NYJ",2019,1,"BUF",40,26.6130044692025
"BUF",2019,1,"NYJ",14,27.0733113802185
"BUF",2019,1,"NYJ",39,28.3537806167878
"NYJ",2019,1,"BUF",37,32.7384898834584
"NYJ",2019,1,"BUF",6,29.4330626920613
"NYJ",2019,1,"BUF",40,27.5908736004663
"NYJ",2019,1,"BUF",28,33.6418263059155
"NYJ",2019,1,"BUF",14,33.2159002195998
"NYJ",2019,1,"BUF",17,37.2038277563601
"NYJ",2019,1,"BUF",40,28.0681971561238
"NYJ",2019,1,"BUF",37,31.9251997953957
"NYJ",2019,1,"BUF",7,29.505321168435
"NYJ",2019,1,"BUF",34,28.5576088922479
"BUF",2019,1,"NYJ",37,35.2264761230286
"BUF",2019,1,"NYJ",44,26.9293563574958
"BUF",2019,1,"NYJ",43,34.3395583139734
"BUF",2019,1,"NYJ",40,29.9681489264855
"BUF",2019,1,"NYJ",6,24.3778005820728
"BUF",2019,1,"NYJ",37,39.2567812481876
"BUF",2019,1,"NYJ",4,27.6431636691232
"BUF",2019,1,"NYJ",41,33.549863335583
"BUF",2019,1,"NYJ",44,29.7426862283378
"NYJ",2019,1,"BUF",30,32.3904318502832
"NYJ",2019,1,"BUF",37,31.4520334088552
"BUF",2019,1,"NYJ",33,14.7115916696249
"BUF",2019,1,"NYJ",42,10.2902835653284
"BUF",2019,1,"NYJ",7,22.5821945819059
"BUF",2019,1,"NYJ",5,11.4233614657651
"NYJ",2019,1,"BUF",14,20.3533128615176
"NYJ",2019,1,"BUF",8,14.9290495126731
"NYJ",2019,1,"BUF",3,13.1540868887299
"NYJ",2019,1,"BUF",0,29.6141234678327
"NYJ",2019,1,"BUF",27,30.2730788428343
"NYJ",2019,1,"BUF",26,30.3568477745659
"NYJ",2019,1,"BUF",42,33.7199852959229
"NYJ",2019,1,"BUF",23,30.2210254906368
"NYJ",2019,1,"BUF",4,28.6445004488619
"NYJ",2019,1,"BUF",5,27.7009626767637
"NYJ",2019,1,"BUF",23,35.7520995803735
"NYJ",2019,1,"BUF",38,30.4680342383447
"NYJ",2019,1,"BUF",39,28.926123562609
"NYJ",2019,1,"BUF",31,30.9653559870419
"NYJ",2019,1,"BUF",50,32.3558549348351
"NYJ",2019,1,"BUF",33,30.1405589640299
"NYJ",2019,1,"BUF",36,29.784772985033
"NYJ",2019,1,"BUF",6,23.9358051926673
"NYJ",2019,1,"BUF",27,28.1193200538143
"BUF",2019,1,"NYJ",20,25.2509358281358
"BUF",2019,1,"NYJ",36,33.4717154636502
"BUF",2019,1,"NYJ",37,25.8007331753268
"BUF",2019,1,"NYJ",4,24.9373687802059
"BUF",2019,1,"NYJ",5,24.7487641166155
"BUF",2019,1,"NYJ",36,29.5797538725955
"BUF",2019,1,"NYJ",39,24.0992429843224
"BUF",2019,1,"NYJ",5,24.0999013783265
"NYJ",2019,1,"BUF",40,33.1129691291812
"NYJ",2019,1,"BUF",41,31.7478509280488
"NYJ",2019,1,"BUF",41,29.9462634455289
"NYJ",2019,1,"BUF",40,30.4948468753486
"NYJ",2019,1,"BUF",43,27.8764549766616
"BUF",2019,1,"NYJ",33,31.318767660273
"BUF",2019,1,"NYJ",38,34.4093860372048
"BUF",2019,1,"NYJ",34,30.4756619031579
"BUF",2019,1,"NYJ",31,30.5274307464004
"BUF",2019,1,"NYJ",44,29.7142870492042
"BUF",2019,1,"NYJ",42,29.7236854485422
"BUF",2019,1,"NYJ",45,30.7197385040039
"NYJ",2019,1,"BUF",36,29.544968374946
"NYJ",2019,1,"BUF",44,30.3912164044382
"NYJ",2019,1,"BUF",45,29.5380469534376
"NYJ",2019,1,"BUF",43,25.3986389462022
"NYJ",2019,1,"BUF",38,26.6190349527597
"BUF",2019,1,"NYJ",39,32.2305927596192
"BUF",2019,1,"NYJ",7,27.8549790257136
"BUF",2019,1,"NYJ",35,27.9334042086787
"BUF",2019,1,"NYJ",7,25.4511763665342
"BUF",2019,1,"NYJ",35,33.341782634175
"BUF",2019,1,"NYJ",39,24.6238280728128
"BUF",2019,1,"NYJ",0,22.8479095342242
"BUF",2019,1,"NYJ",6,32.4068792773737
"NYJ",2019,1,"BUF",30,30.2581199848089
"NYJ",2019,1,"BUF",23,30.5826116370949
"NYJ",2019,1,"BUF",7,11.6592071316621
"NYJ",2019,1,"BUF",24,9.54974026540141
"NYJ",2019,1,"BUF",7,9.13606292666081
"NYJ",2019,1,"BUF",3,10.103822161603
"NYJ",2019,1,"BUF",4,8.80807943433428
"NYJ",2019,1,"BUF",5,7.65600455432371
"BUF",2019,1,"NYJ",5,13.3052806826046
"BUF",2019,1,"NYJ",5,13.5758293435561
"NYJ",2019,1,"BUF",4,9.41368515206402
"CIN",2019,1,"SEA",41,32.0788372768067
"CIN",2019,1,"SEA",5,29.824892434152
"CIN",2019,1,"SEA",39,34.652100397999
"CIN",2019,1,"SEA",42,32.9208345395166
"CIN",2019,1,"SEA",5,29.585817902102
"CIN",2019,1,"SEA",5,28.6082845283306
"SEA",2019,1,"CIN",27,30.293039679573
"SEA",2019,1,"CIN",5,28.9105351220949
"CIN",2019,1,"SEA",25,24.0520451011821
"CIN",2019,1,"SEA",48,36.9570731385973
"CIN",2019,1,"SEA",38,34.3460519846566
"CIN",2019,1,"SEA",41,29.917979300548
"CIN",2019,1,"SEA",3,29.2197401818831
"CIN",2019,1,"SEA",8,28.3334265887138
"CIN",2019,1,"SEA",43,31.8598318123783
"CIN",2019,1,"SEA",38,34.1713727236757
"CIN",2019,1,"SEA",7,29.5407499859766
"CIN",2019,1,"SEA",40,33.63534027822
"CIN",2019,1,"SEA",41,31.1356272574934
"CIN",2019,1,"SEA",43,34.6219794984744
"CIN",2019,1,"SEA",46,32.7747230365537
"CIN",2019,1,"SEA",26,29.7877792343002
"SEA",2019,1,"CIN",32,31.0526407480973
"SEA",2019,1,"CIN",42,20.2302289935483
"SEA",2019,1,"CIN",30,35.6555880096799
"SEA",2019,1,"CIN",45,21.0155607110543
"SEA",2019,1,"CIN",50,21.3898372632867
"CIN",2019,1,"SEA",24,25.8861941838177
"CIN",2019,1,"SEA",4,26.8954875754319
"CIN",2019,1,"SEA",45,34.6084297356885
"SEA",2019,1,"CIN",30,32.6409649758022
"SEA",2019,1,"CIN",44,32.1178591745196
"SEA",2019,1,"CIN",25,28.5384347021386
"SEA",2019,1,"CIN",40,32.6098991301987
"SEA",2019,1,"CIN",40,34.4236998731174
"SEA",2019,1,"CIN",43,30.9509347660152
"SEA",2019,1,"CIN",47,27.9960761086524
"SEA",2019,1,"CIN",4,28.2520346642349
"CIN",2019,1,"SEA",34,32.7753396352885
"CIN",2019,1,"SEA",42,42.6785813840387
"SEA",2019,1,"CIN",44,27.6834980512771
"SEA",2019,1,"CIN",37,30.9904857415331
"CIN",2019,1,"SEA",35,33.8024030329283
"CIN",2019,1,"SEA",39,29.4215630340592
"SEA",2019,1,"CIN",5,17.6436732143639
"SEA",2019,1,"CIN",4,10.7282936270069
"SEA",2019,1,"CIN",33,29.3857011753159
"SEA",2019,1,"CIN",4,12.1446319523929
"SEA",2019,1,"CIN",8,13.7872522911039
"CIN",2019,1,"SEA",24,10.1776837553577
"CIN",2019,1,"SEA",8,14.0685361228136
"CIN",2019,1,"SEA",4,7.69537516645243
"CIN",2019,1,"SEA",34,34.5913443677554
"CIN",2019,1,"SEA",44,29.9661060037227
"SEA",2019,1,"CIN",36,21.9399600484213
"SEA",2019,1,"CIN",39,22.6976440279746
"CIN",2019,1,"SEA",47,25.7941848989775
"CIN",2019,1,"SEA",39,30.4449421554718
"CIN",2019,1,"SEA",32,42.9097055476506
"CIN",2019,1,"SEA",40,27.8584134344541
"CIN",2019,1,"SEA",44,29.8509133391298
"SEA",2019,1,"CIN",37,19.038140860113
"SEA",2019,1,"CIN",44,16.0444900512074
"CIN",2019,1,"SEA",37,31.9588413453093
"CIN",2019,1,"SEA",4,28.1918878057689
"CIN",2019,1,"SEA",31,31.5375999807566
"CIN",2019,1,"SEA",40,30.2312699264503
"CIN",2019,1,"SEA",36,37.8679982614247
"CIN",2019,1,"SEA",5,28.4149865638167
"CIN",2019,1,"SEA",45,35.1012444356692
"CIN",2019,1,"SEA",5,30.0352961886134
"SEA",2019,1,"CIN",28,30.6744434578177
"SEA",2019,1,"CIN",45,27.4868492728915
"SEA",2019,1,"CIN",38,36.6440962080449
"CIN",2019,1,"SEA",46,19.5902279330949
"CIN",2019,1,"SEA",41,28.0252801051313
"CIN",2019,1,"SEA",21,27.1096899488038
"CIN",2019,1,"SEA",45,28.4588423304517
"CIN",2019,1,"SEA",47,31.1048629633985
"CIN",2019,1,"SEA",28,30.4053462720667
"CIN",2019,1,"SEA",5,25.6872771479386
"CIN",2019,1,"SEA",39,30.979992468959
"CIN",2019,1,"SEA",41,28.5082756894339
"CIN",2019,1,"SEA",3,26.8930592627542
"CIN",2019,1,"SEA",42,30.2454002708834
"CIN",2019,1,"SEA",4,25.562307419647
"CIN",2019,1,"SEA",4,26.5926694719408
"CIN",2019,1,"SEA",25,22.2244093943166
